Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402,123.798097,-56.416369,135.0,top
C2,100n,C_0402,115.312816,-62.426777,-45.0,top
C3,100n,C_0402,115.666369,-59.951903,-135.0,top
C4,100n,C_0402,118.1,-67.05,-45.0,top
C5,100n,C_0402,127.333631,-64.548097,45.0,top
C6,1uF,C_0603,138.2,-67.5,-90.0,top
C7,100n,C_0402,139.4,-67.5,-90.0,top
C8,1uF,C_0603,128.2,-65.4,45.0,top
C9,1uF,C_0603,114.8,-59.1,-135.0,top
C10,100n,C_0402,138.1,-65.3,90.0,top
C11,100n,C_0402,137.4,-62.2,90.0,top
C12,100n,C_0402,116.9,-67.4,135.0,top
C13,100n,C_0402,139.25,-76.5,-90.0,top
C14,10n,C_0402,136.0,-79.0,180.0,top
C15,100n,C_0402,117.25,-76.5,-90.0,top
C16,10n,C_0402,114.0,-79.0,180.0,top
C17,100n,C_0402,95.25,-76.5,-90.0,top
C18,10n,C_0402,92.0,-79.0,180.0,top
C19,100n,C_0402,73.25,-76.5,-90.0,top
C20,10n,C_0402,70.0,-79.0,180.0,top
C24,100n,C_0402,126.975,-66.6,135.0,top
C26,10n,C_0402,128.2,-72.0,0.0,top
C28,10n,C_0402,106.2,-72.0,0.0,top
C30,10n,C_0402,84.2,-72.0,0.0,top
C32,10n,C_0402,64.3,-63.8,0.0,top
D1,RED,LED_0603_1608Metric,131.0,-73.5,-90.0,top
D2,GREEN,LED_0603_1608Metric,132.5,-73.5,90.0,top
D3,RED,LED_0603_1608Metric,109.0,-73.5,-90.0,top
D4,GREEN,LED_0603_1608Metric,110.5,-73.5,90.0,top
D5,RED,LED_0603_1608Metric,87.0,-73.5,-90.0,top
D6,GREEN,LED_0603_1608Metric,88.499999,-73.5,90.0,top
D7,RED,LED_0603_1608Metric,65.0,-73.5,-90.0,top
D8,GREEN,LED_0603_1608Metric,66.5,-73.5,90.0,top
D9,RED,LED_0603_1608Metric,143.425,-61.3,0.0,top
D10,GREEN,LED_0603_1608Metric,143.4,-62.8,180.0,top
D11,BLUE,LED_0603_1608Metric,143.4,-64.3,0.0,top
D12,GREEN,LED_0603_1608Metric,105.5,-70.2,0.0,top
D13,GREEN,LED_0603_1608Metric,102.0,-70.1,0.0,top
D14,GREEN,LED_0603_1608Metric,98.5,-70.0,0.0,top
FB1,FERRET,L_0402,139.975,-79.0,180.0,top
FB2,FERRET,L_0402,132.0,-79.0,0.0,top
FB3,FERRET,L_0402,118.0,-79.0,180.0,top
FB4,FERRET,L_0402,110.0,-79.0,0.0,top
FB5,FERRET,L_0402,96.0,-79.0,180.0,top
FB6,FERRET,L_0402,88.0,-79.0,0.0,top
FB7,FERRET,L_0402,74.0,-79.0,180.0,top
FB8,FERRET,L_0402,66.0,-79.0,0.0,top
J1,USB,USB-C 16Pin,135.0,-54.2275,180.0,top
JP1,DFU,R_0805,122.0,-52.25,270.0,bottom
Q1,2N7002,SOT-23,106.5,-62.2,270.0,top
Q2,BC817,SOT-23,106.5,-65.7,0.0,top
Q3,2N7002,SOT-23,103.0,-62.2,270.0,top
Q4,BC817,SOT-23,103.0,-65.7,0.0,top
Q5,2N7002,SOT-23,99.5,-62.2,270.0,top
Q6,BC817,SOT-23,99.5,-65.7,0.0,top
R1,5k1,R_0402,137.4,-60.2,90.0,top
R2,5k1,R_0402,132.6,-60.2,-90.0,top
R3,5k1,R_0402,116.4,-58.1,-45.0,top
R4,220,R_0402,131.0,-76.25,90.0,top
R5,220,R_0402,131.75,-71.25,180.0,top
R6,10,R_0402,139.25,-71.75,90.0,top
R7,220,R_0402,109.0,-76.25,90.0,top
R8,220,R_0402,109.9,-71.25,180.0,top
R9,10,R_0402,117.25,-71.75,90.0,top
R10,220,R_0402,87.0,-76.25,90.0,top
R11,220,R_0402,87.75,-71.25,180.0,top
R12,10,R_0402,95.25,-71.75,90.0,top
R13,220,R_0402,65.0,-76.25,90.0,top
R14,220,R_0402,65.75,-71.25,180.0,top
R15,10,R_0402,73.25,-71.75,90.0,top
R16,5k1,R_0402,82.0,-61.5,90.0,top
R17,5k1,R_0402,77.6,-61.5,-90.0,top
R18,220,R_0402,105.2,-67.3,-90.0,top
R19,220,R_0402,107.2,-67.9,0.0,top
R20,220,R_0402,101.7,-67.3,-90.0,top
R21,220,R_0402,103.7,-67.9,0.0,top
R22,220,R_0402,98.2,-67.3,-90.0,top
R23,220,R_0402,100.2,-67.8,0.0,top
R24,220,R_0402,144.5,-65.6,0.0,top
R25,220,R_0402,141.1,-61.8,90.0,top
R26,220,R_0402,142.6,-65.6,0.0,top
R27,5k1,R_0402,143.8,-73.8,0.0,top
R28,5k1,R_0402,143.8,-74.9,180.0,top
R57,220,R_0402,107.2,-69.0,0.0,top
R58,220,R_0402,103.7,-68.9,0.0,top
R59,220,R_0402,100.2,-68.8,0.0,top
SW1,SCPI_CSV,SW_SPDT_PCM12,122.0,-52.5,180.0,top
TH1,NTC,R_0603,143.8,-76.1,180.0,top
U1,USBLC6-4,SOT-23-6,135.0,-61.25,0.0,top
U2,AP2204R-3.3,SOT-89-3,135.0,-66.75,0.0,top
U3,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,121.5,-62.25,315.0,top
U4,MAX31855KASA,SOIC-8_3.9x4.9mm_P1.27mm,136.0,-74.5,0.0,top
U5,MAX31855KASA,SOIC-8_3.9x4.9mm_P1.27mm,114.0,-74.5,0.0,top
U6,MAX31855KASA,SOIC-8_3.9x4.9mm_P1.27mm,92.0,-74.5,0.0,top
U7,MAX31855KASA,SOIC-8_3.9x4.9mm_P1.27mm,70.0,-74.5,0.0,top
U8,DRV8837,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,94.0,-64.2,-90.0,top
U13,USBLC6-4,SOT-23-6,79.8,-62.4,180.0,top
